customer_id,subscription_date,last_activity_date,plan_type,monthly_price,total_payment,total_watch_hours,region,total_sessions
CUST147,2024-06-17,2025-07-04,Standard,10.99,130.34,565.0,UK,492
CUST148,2024-05-30,2024-12-25,Standard,10.99,71.81,378.3,UK,246
CUST149,2025-02-07,2025-03-03,Basic,6.99,6.49,38.9,US,22
CUST150,2023-08-08,2025-07-09,Basic,6.99,165.36,1331.7,US,483
CUST151,2023-12-22,2025-01-09,Premium,15.99,187.35,792.7,US,552
CUST152,2023-08-29,2024-11-19,Premium,15.99,244.31,1028.2,UK,574
CUST153,2023-09-29,2024-09-28,Premium,15.99,185.36,594.3,US,720
CUST154,2024-04-24,2025-01-04,Standard,10.99,96.05,487.9,US,288
CUST155,2023-09-10,2025-07-10,Premium,15.99,380.03,1608.9,US,1100
CUST156,2025-04-16,2025-05-15,Basic,6.99,6.67,60.6,US,30
CUST157,2025-01-30,2025-06-18,Standard,10.99,46.63,253.1,Germany,172
CUST158,2025-05-16,2025-06-12,Standard,10.99,12.08,59.7,France,32
CUST159,2024-11-01,2025-04-16,Standard,10.99,52.23,181.3,France,215
CUST160,2024-09-17,2025-01-26,Standard,10.99,43.4,216.2,US,160
CUST161,2024-12-09,2025-04-01,Basic,6.99,21.05,140.8,Germany,69
CUST162,2023-11-14,2025-06-17,Standard,10.99,200.25,841.8,UK,874
CUST163,2024-10-10,2025-07-10,Premium,15.99,129.96,524.2,UK,495
CUST164,2024-12-02,2025-01-04,Standard,10.99,10.37,51.2,US,32
CUST165,2024-06-02,2024-10-13,Basic,6.99,26.74,191.9,France,116
CUST166,2025-03-10,2025-06-29,Basic,6.99,20.73,193.1,UK,120
CUST167,2023-12-03,2025-06-18,Basic,6.99,117.54,677.9,UK,612
CUST168,2025-04-25,2025-07-03,Basic,6.99,15.02,125.3,UK,54
CUST169,2023-07-27,2025-01-26,Standard,10.99,205.93,889.3,France,846
CUST170,2023-12-24,2025-01-04,Standard,10.99,120.94,644.5,Germany,384
CUST171,2025-01-28,2025-07-06,Standard,10.99,90.85957577728650,329.5,US,180
CUST172,2025-06-13,2025-06-26,Standard,10.99,11.33,50.4,US,39
CUST173,2023-11-24,2024-10-15,Premium,15.99,174.49,632.4,US,590
CUST174,2024-02-08,2025-03-28,Basic,6.99,81.84,614.7,Germany,364
CUST175,2024-01-23,2025-07-01,Standard,10.99,427.5233859990530,786.1,UK,731
CUST176,2023-12-25,2025-06-24,Premium,15.99,312.45,1355.7,France,1116
CUST177,2025-04-26,2025-06-30,Basic,6.99,15.19,131.7,US,66
CUST178,2024-10-09,2025-07-09,Basic,6.99,65.69,344.4,Germany,270
CUST179,2025-03-27,2025-06-28,Premium,15.99,50.52,137.7,UK,201
CUST180,2023-10-21,2025-04-03,Standard,10.99,171.57,894.5,US,510
CUST181,2024-04-06,2024-07-21,Standard,10.99,33.06,125.3,US,99
CUST182,2024-10-28,2025-02-03,Basic,6.99,19.84,176.8,US,75
CUST183,2025-05-03,2025-05-30,Standard,10.99,10.29,39.3,UK,51
CUST184,2024-11-11,2025-06-27,Standard,10.99,81.7,354.7,France,385
CUST185,2024-11-01,2025-06-17,Basic,6.99,45.36,246.5,UK,168
CUST186,2024-01-23,2025-07-16,Standard,10.99,196.58,801.0,Germany,576
CUST187,2024-03-27,2025-06-22,Basic,6.99,114.05,829.7,France,315
CUST188,2023-10-04,2025-02-25,Standard,10.99,175.09,926.0,US,544
CUST189,2024-07-21,2024-09-02,Basic,6.99,7.66,64.3,Germany,28
CUST190,2025-03-25,2025-06-25,Basic,6.99,23.04,183.7,Germany,114
CUST191,2024-02-03,2025-07-02,Basic,6.99,294.11394254641400,855.9,US,646
CUST192,2024-01-01,2025-01-16,Basic,6.99,178.08615841267800,436.4,France,432
CUST193,2024-05-20,2025-07-05,Premium,15.99,200.22,1035.9,US,741
CUST194,2023-12-25,2025-07-14,Basic,6.99,123.92,1234.3,US,540
CUST195,2024-07-06,2025-02-02,Standard,10.99,74.0,417.3,Germany,287
CUST196,2024-06-16,2025-01-28,Basic,6.99,46.78,299.1,US,154
CUST197,2024-08-21,2025-07-08,Standard,10.99,120.28,714.3,US,470
CUST198,2025-05-30,2025-07-02,Premium,15.99,14.88,56.4,US,63
CUST199,2025-04-02,2025-04-06,Basic,6.99,7.32,56.7,France,25
CUST200,2025-05-25,2025-07-16,Premium,15.99,14.39,63.5,India,46
CUST201,2024-03-28,2025-07-04,Basic,6.99,106.87,694.2,US,300
CUST202,2024-11-08,2025-01-30,Standard,10.99,23.81,124.5,Germany,70
CUST203,2024-06-26,2025-06-22,Standard,10.99,126.29,451.7,India,564
CUST204,2023-09-20,2025-02-20,Premium,15.99,513.2963218749020,1311.6,UK,884
CUST205,2024-12-24,2025-07-09,Standard,10.99,67.94,260.6,UK,306
CUST206,2024-09-02,2024-11-06,Standard,10.99,22.91,127.2,Germany,96
CUST207,2024-01-05,2025-06-20,Basic,6.99,123.3,622.3,France,442
CUST208,2025-01-07,2025-06-17,Basic,6.99,33.69,281.4,France,190
CUST209,2025-04-24,2025-07-05,Premium,15.99,30.4,134.5,US,96
CUST210,2024-11-26,2025-07-16,Standard,10.99,83.94,345.4,UK,224
CUST211,2025-02-24,2025-03-08,Standard,10.99,11.92,45.9,US,52
CUST212,2023-09-05,2024-12-06,Standard,10.99,163.44,842.5,UK,615
CUST213,2023-11-29,2025-06-17,Standard,10.99,211.52,806.3,US,882
CUST214,2024-03-30,2025-06-28,Premium,15.99,237.56,928.5,France,945
CUST215,2023-10-15,2025-04-07,Standard,10.99,194.83,766.8,UK,846
CUST216,2023-12-02,2024-10-06,Standard,10.99,102.36,636.7,France,370
CUST217,2025-02-06,2025-07-06,Premium,15.99,78.77,236.7,US,240
CUST218,2023-10-01,2025-06-30,Basic,6.99,147.89,946.9,US,672
CUST219,2024-06-04,2025-07-16,Basic,6.99,82.19,549.5,UK,351
CUST220,2023-11-29,2025-03-17,Standard,10.99,163.01,782.5,US,765
CUST221,2023-09-28,2025-06-21,Basic,6.99,155.05,881.6,UK,609
CUST222,2024-11-06,2025-01-23,Standard,10.99,22.77,84.6,India,92
CUST223,2025-03-31,2025-06-26,Premium,15.99,32.84,146.8,France,92
CUST224,2025-01-08,2025-03-09,Standard,10.99,23.78,124.0,US,92
CUST225,2024-08-22,2025-06-24,Standard,10.99,99.31,524.0,UK,520
CUST226,2023-11-22,2025-06-23,Premium,15.99,307.28,730.0,India,1311
CUST227,2023-10-23,2025-07-11,Standard,10.99,232.43,1228.0,US,940
CUST228,2025-06-12,2025-07-04,Standard,10.99,11.08,40.0,UK,53
CUST229,2024-06-24,2025-07-11,Standard,10.99,127.24,773.4,US,372
CUST230,2024-08-28,2025-07-12,Premium,15.99,148.27,433.5,India,420
CUST231,2025-01-12,2025-07-04,Standard,10.99,59.21,237.6,UK,240
CUST232,2025-03-25,2025-06-28,Standard,10.99,32.78,136.5,UK,90
CUST233,2024-10-23,2025-02-23,Premium,15.99,68.8,247.9,India,240
CUST234,2023-08-26,2025-02-05,Standard,10.99,190.04,659.5,UK,850
CUST235,2024-11-02,2024-11-09,Standard,10.99,11.37,52.0,UK,39
CUST236,2024-06-18,2025-06-28,Premium,15.99,203.56,621.9,US,720
CUST237,2024-02-10,2024-08-31,Standard,10.99,68.04,336.9,France,258
CUST238,2024-10-05,2025-06-23,Standard,10.99,86.13,546.9,US,336
CUST239,2023-08-06,2025-06-30,Premium,15.99,368.77,1127.0,India,1104
CUST240,2023-08-13,2025-06-26,Standard,10.99,256.43,1092.1,Germany,770
CUST241,2024-12-22,2025-06-28,Standard,10.99,64.27,376.9,UK,210
CUST242,2024-07-03,2025-02-11,Premium,15.99,109.43,361.5,India,406
CUST243,2024-11-18,2025-02-14,Premium,15.99,29.39,131.0,US,120
CUST244,2024-11-29,2025-01-25,Standard,10.99,11.9,57.6,US,39
CUST245,2025-05-22,2025-07-10,Basic,6.99,6.42,61.2,US,22
CUST246,2024-04-16,2025-06-19,Standard,10.99,158.42,588.4,US,658
CUST247,2024-06-30,2025-06-20,Standard,10.99,118.79,656.0,UK,550
CUST248,2025-05-11,2025-06-30,Standard,10.99,10.78,48.1,UK,48
CUST249,2024-12-03,2025-07-11,Standard,10.99,79.69,286.2,US,238
CUST250,2023-09-20,2025-06-28,Standard,10.99,210.81,1230.3,France,1134
CUST251,2024-12-31,2025-06-23,Standard,10.99,55.98,254.7,US,200
CUST252,2025-03-07,2025-07-11,Basic,6.99,29.48,129.2,India,116
CUST253,2024-07-09,2025-03-21,Standard,10.99,93.69,475.3,US,368
CUST254,2023-07-28,2024-12-10,Standard,10.99,164.25,1080.7,US,528
CUST255,2024-12-29,2025-01-07,Basic,6.99,7.55,61.6,UK,40
CUST256,2024-03-03,2025-02-09,Basic,6.99,79.29,701.0,UK,407
CUST257,2023-12-31,2025-06-25,Standard,10.99,212.93,1208.4,US,846
CUST258,2025-01-01,2025-01-18,Standard,10.99,10.96,35.1,France,30
CUST259,2024-01-24,2025-02-28,Basic,6.99,91.63,512.8,India,429
CUST260,2024-10-02,2025-07-06,Premium,15.99,155.97,546.7,India,423
CUST261,2024-03-31,2025-07-13,Standard,10.99,178.04,689.8,UK,465
CUST262,2024-03-30,2024-11-20,Premium,15.99,110.77,445.6,France,406
CUST263,2024-06-06,2025-07-04,Standard,10.99,136.42,760.6,US,572
CUST264,2025-04-14,2025-06-27,Standard,10.99,21.51,91.9,UK,62
CUST265,2023-11-10,2025-06-21,Premium,15.99,296.99,1416.7,France,817
CUST266,2024-11-04,2025-06-30,Standard,10.99,73.65,350.7,Germany,210
CUST267,2025-02-06,2025-07-08,Standard,10.99,52.41,244.7,UK,240
CUST268,2025-05-19,2025-07-13,Basic,6.99,7.49,71.4,US,40
CUST269,2024-04-29,2025-06-24,Standard,10.99,140.62,767.0,US,546
CUST270,2024-02-28,2025-06-19,Basic,6.99,108.57,605.3,Germany,300
CUST271,2025-06-05,2025-06-12,Basic,6.99,6.53,55.4,US,39
CUST272,2024-06-23,2025-07-03,Basic,6.99,81.27,606.1,India,408
CUST273,2025-01-09,2025-07-09,Basic,6.99,38.26,349.8,UK,138
CUST274,2024-03-22,2025-06-23,Premium,15.99,228.82,1161.4,US,690
CUST275,2025-02-14,2025-02-19,Basic,6.99,7.37,61.9,US,26
CUST276,2024-02-19,2025-07-07,Standard,10.99,189.38,750.2,US,816
CUST277,2024-09-19,2025-06-29,Premium,15.99,135.89,723.0,US,576
CUST278,2023-08-31,2024-11-30,Standard,10.99,163.65,927.0,Germany,705
CUST279,2025-03-12,2025-03-17,Basic,6.99,6.95,40.8,France,32
CUST280,2024-10-21,2025-07-05,Standard,10.99,94.49,264.6,India,312
CUST281,2025-03-29,2025-04-06,Standard,10.99,11.57,64.3,France,53
CUST282,2023-09-08,2025-07-11,Standard,10.99,400.93579533550400,1343.1,France,814
CUST283,2023-10-11,2025-07-05,Standard,10.99,238.67,1427.5,US,819
CUST284,2024-12-18,2025-06-20,Premium,15.99,102.61,443.5,France,318
CUST285,2024-03-12,2025-07-08,Standard,10.99,158.59,902.0,US,688
CUST286,2023-11-22,2025-04-02,Standard,10.99,172.42,957.3,US,784
CUST287,2024-05-24,2025-06-23,Standard,10.99,154.51,734.5,US,663
CUST288,2024-06-11,2025-07-05,Basic,6.99,87.91,482.3,US,360
CUST289,2024-12-29,2025-03-18,Premium,15.99,32.25,151.4,US,90
CUST290,2025-04-12,2025-05-09,Basic,6.99,7.03,42.6,India,40
CUST291,2023-09-27,2025-07-03,Standard,10.99,223.76,1257.4,US,630
CUST292,2023-09-25,2025-03-24,Premium,15.99,451.67759644838200,1081.7,UK,1044
CUST293,2024-03-30,2025-07-15,Standard,10.99,169.97,820.9,US,540
CUST294,2024-10-22,2025-02-10,Standard,10.99,32.43,120.5,UK,159
CUST295,2024-10-15,2025-03-25,Standard,10.99,57.3,216.8,UK,235
CUST296,2024-01-25,2024-09-21,Premium,15.99,137.16,381.7,UK,336
CUST297,2023-09-28,2025-07-07,Standard,10.99,495.2891470278090,944.1,US,1029
CUST298,2023-10-05,2025-07-08,Premium,15.99,332.54,1779.3,US,1449
CUST299,2023-12-19,2025-06-21,Basic,6.99,123.51,712.7,France,540
CUST300,2024-03-24,2025-06-27,Standard,10.99,171.03,646.2,Germany,510
CUST301,2025-04-19,2025-07-09,Premium,15.99,30.38,139.2,US,116
CUST302,2025-02-23,2025-03-18,Basic,6.99,7.19,58.6,US,40
CUST303,2023-09-27,2025-07-14,Standard,10.99,248.21,915.2,US,1113
CUST304,2024-04-18,2025-06-23,Basic,6.99,96.26,823.4,France,294
CUST305,2025-06-10,2025-06-17,Standard,10.99,11.89,58.6,UK,51
CUST306,2025-04-06,2025-06-21,Standard,10.99,24.15,84.2,UK,66
CUST307,2024-03-09,2025-03-22,Standard,10.99,121.49,523.9,France,648
CUST308,2025-06-13,2025-07-01,Basic,6.99,6.62,69.5,US,29
CUST309,2025-02-24,2025-06-30,Basic,6.99,30.48,239.1,UK,84
CUST310,2024-05-28,2025-07-02,Basic,6.99,99.2,727.1,UK,351
CUST311,2024-02-18,2025-07-14,Standard,10.99,171.8,541.4,India,510
CUST312,2024-03-17,2024-10-04,Standard,10.99,59.54,285.3,France,210
CUST313,2025-01-11,2025-06-26,Premium,15.99,74.53,310.7,Germany,250
CUST314,2024-02-04,2025-07-05,Standard,10.99,205.36,759.6,US,663
CUST315,2025-01-01,2025-06-21,Standard,10.99,51.43,266.5,US,210
CUST316,2024-11-01,2025-07-02,Premium,15.99,127.99,432.7,India,320
CUST317,2024-01-11,2024-08-08,Standard,10.99,82.29,266.7,India,217
CUST318,2024-03-19,2025-06-24,Premium,15.99,216.84,1051.7,UK,630
CUST319,2023-10-31,2025-02-27,Standard,10.99,179.51,963.4,France,608
CUST320,2024-03-13,2024-10-25,Basic,6.99,46.75,313.0,UK,168
CUST321,2024-05-15,2025-07-05,Basic,6.99,97.46,782.1,UK,377
CUST322,2025-04-12,2025-05-09,Standard,10.99,10.51,38.1,Germany,39
CUST323,2024-10-02,2025-07-01,Basic,6.99,139.55706883818,595.3,US,279
CUST324,2024-12-13,2025-06-24,Standard,10.99,68.24,201.9,India,282
CUST325,2024-12-28,2025-07-01,Standard,10.99,62.27,224.9,UK,330
CUST326,2023-08-05,2025-04-17,Standard,10.99,199.35,1193.6,US,1000
CUST327,2024-09-14,2024-10-20,Standard,10.99,10.79,41.8,India,50
CUST328,2023-10-01,2025-07-15,Basic,6.99,140.6,1110.9,India,420
CUST329,2024-04-01,2025-03-19,Standard,10.99,128.36,504.9,UK,352
CUST330,2023-12-08,2025-07-14,Standard,10.99,221.35,911.5,US,646
CUST331,2024-06-30,2025-06-21,Premium,15.99,174.38,660.3,Germany,704
CUST332,2024-05-09,2025-06-26,Standard,10.99,145.91,632.8,UK,715
CUST333,2024-07-07,2024-10-25,Premium,15.99,48.97,138.7,India,168
CUST334,2025-01-31,2025-02-28,Standard,10.99,11.71,47.4,India,37
CUST335,2024-01-28,2025-06-27,Standard,10.99,184.03,982.4,UK,782
CUST336,2024-12-02,2025-06-25,Basic,6.99,40.06,363.5,UK,168
CUST337,2025-05-30,2025-06-26,Standard,10.99,10.47,64.2,UK,35
CUST338,2024-03-22,2025-06-17,Standard,10.99,166.04,548.2,India,690
CUST339,2025-02-13,2025-06-18,Standard,10.99,43.51,225.9,UK,148
CUST340,2023-08-28,2024-09-23,Standard,10.99,141.16,669.6,US,650
CUST341,2023-08-19,2025-07-11,Standard,10.99,232.1,1399.4,US,828
CUST342,2023-09-15,2025-06-18,Standard,10.99,240.88,1138.4,US,756
CUST343,2024-09-30,2025-07-02,Standard,10.99,93.25,583.3,UK,396
CUST344,2025-06-06,2025-06-30,Basic,6.99,6.57,56.9,UK,26
CUST345,2023-09-06,2025-01-29,Premium,15.99,464.58705454631100,1102.4,India,1037
CUST346,2024-08-21,2025-07-03,Basic,6.99,66.09,510.4,India,270
CUST347,2023-08-10,2025-03-24,Basic,6.99,135.04,1179.7,France,532
CUST348,2023-08-12,2025-06-26,Standard,10.99,235.56,1307.5,UK,968
CUST349,2023-10-28,2025-06-23,Standard,10.99,217.55,1073.0,US,620
CUST350,2024-11-22,2025-06-22,Standard,10.99,77.5,297.9,Germany,252
CUST351,2024-09-20,2025-06-21,Basic,6.99,59.18,456.5,US,306
CUST352,2023-10-30,2025-07-12,Standard,10.99,204.67,605.3,India,940
CUST353,2024-11-07,2024-11-08,Standard,10.99,11.83,50.7,Germany,51
CUST354,2025-02-18,2025-03-05,Premium,15.99,15.78,60.2,UK,57
CUST355,2024-05-23,2025-03-02,Premium,15.99,141.38,466.0,India,441
CUST356,2023-08-31,2025-06-24,Standard,10.99,219.32,1200.9,India,1122
CUST357,2024-02-15,2025-07-13,Standard,10.99,186.75,1059.8,UK,799
CUST358,2024-05-13,2025-03-31,Standard,10.99,111.09,438.4,US,300
CUST359,2025-04-09,2025-06-26,Basic,6.99,14.14,101.3,US,52
CUST360,2024-04-12,2025-06-19,Standard,10.99,160.23,734.9,US,448
CUST361,2023-07-24,2025-07-14,Standard,10.99,246.75,1099.6,UK,1032
CUST362,2025-03-10,2025-04-06,Premium,15.99,15.2,77.8,US,51
CUST363,2024-06-19,2025-07-14,Basic,6.99,96.52,560.5,India,429
CUST364,2023-10-11,2025-07-09,Standard,10.99,251.43,1205.0,US,693
CUST365,2024-01-15,2025-04-08,Standard,10.99,142.66,848.3,UK,588
CUST366,2024-02-15,2025-06-22,Standard,10.99,175.76,946.8,Germany,720
CUST367,2024-02-11,2025-06-27,Basic,6.99,105.45,685.8,US,560
CUST368,2024-10-08,2025-06-30,Premium,15.99,116.66,541.6,France,488
CUST369,2024-11-23,2025-07-09,Standard,10.99,74.25,370.1,US,238
CUST370,2023-11-28,2025-02-02,Standard,10.99,142.9,613.8,UK,686
CUST371,2023-11-27,2025-06-18,Basic,6.99,131.1,657.0,UK,450
CUST372,2023-10-19,2025-07-12,Standard,10.99,232.35,1042.0,France,735
CUST373,2023-09-16,2024-09-17,Standard,10.99,122.49,602.8,US,564
CUST374,2024-06-24,2024-07-20,Basic,6.99,6.3,42.5,France,25
CUST375,2024-06-30,2024-11-23,Basic,6.99,29.68,223.4,UK,104
CUST376,2023-12-06,2025-07-12,Premium,15.99,284.13,1456.8,US,1197
CUST377,2024-03-19,2025-06-23,Basic,6.99,107.08,698.7,US,525
CUST378,2024-02-11,2024-10-07,Basic,6.99,47.33,217.1,India,196
CUST379,2023-12-07,2025-02-08,Standard,10.99,156.49,719.5,India,770
CUST380,2023-10-02,2025-07-08,Standard,10.99,222.28,741.3,UK,882
CUST381,2024-10-23,2025-06-20,Basic,6.99,51.3,555.4,US,248
CUST382,2024-09-27,2025-07-01,Standard,10.99,93.43,484.5,UK,432
CUST383,2025-04-12,2025-04-17,Basic,6.99,6.55,49.1,US,20
CUST384,2024-05-08,2025-07-09,Basic,6.99,181.28654363164400,652.9,US,378
CUST385,2025-05-22,2025-06-19,Basic,6.99,7.21,30.0,India,23
CUST386,2024-07-26,2025-06-28,Premium,15.99,167.58,472.0,India,660
CUST387,2024-06-02,2025-03-19,Basic,6.99,85.86736126795440,387.4,US,342
CUST388,2024-11-28,2025-01-06,Basic,6.99,7.02,58.7,US,40
CUST389,2024-04-29,2025-06-19,Standard,10.99,145.89,520.0,France,715
CUST390,2025-05-26,2025-06-06,Premium,15.99,17.47,61.0,France,44
CUST391,2025-05-21,2025-06-07,Basic,6.99,7.12,52.7,UK,36
CUST392,2023-11-19,2025-06-20,Standard,10.99,207.61,918.4,US,608
CUST393,2024-10-07,2025-07-09,Basic,6.99,63.83,356.9,US,342
CUST394,2025-03-20,2025-06-18,Standard,10.99,35.79,108.4,UK,90
CUST395,2024-06-16,2025-02-23,Standard,10.99,93.69,286.3,UK,416
CUST396,2023-12-26,2025-06-19,Standard,10.99,190.82,1029.1,UK,540
CUST397,2025-01-16,2025-02-04,Standard,10.99,10.41,44.5,Germany,52
CUST398,2024-04-06,2025-02-19,Standard,10.99,104.68,647.8,US,490
CUST399,2025-04-18,2025-06-26,Basic,6.99,27.547750619571300,95.9,UK,56
CUST400,2025-05-11,2025-05-30,Standard,10.99,11.53,48.6,UK,52
CUST401,2024-06-10,2025-07-15,Basic,6.99,90.93,655.0,France,312
CUST402,2024-06-03,2025-06-24,Standard,10.99,120.48,676.7,France,432
CUST403,2024-03-27,2025-03-18,Premium,15.99,373.4027968391800,627.3,US,704
CUST404,2024-01-25,2025-02-25,Premium,15.99,220.59,663.2,US,845
CUST405,2023-08-03,2025-06-22,Premium,15.99,336.97,1159.7,India,990
CUST406,2024-06-20,2024-11-02,Standard,10.99,45.4,179.2,UK,184
CUST407,2024-11-02,2024-11-29,Standard,10.99,10.83,48.3,UK,51
CUST408,2023-12-08,2025-06-25,Basic,6.99,135.61,1077.3,US,648
CUST409,2024-12-09,2024-12-18,Standard,10.99,11.75,49.8,UK,42
CUST410,2024-08-13,2025-07-02,Standard,10.99,110.46,589.7,US,410
CUST411,2025-04-23,2025-07-16,Standard,10.99,22.82,87.3,India,66
CUST412,2025-05-30,2025-07-16,Standard,10.99,11.83,57.2,Germany,37
CUST413,2023-08-13,2024-07-19,Basic,6.99,76.82,679.8,US,264
CUST414,2023-11-09,2025-03-07,Standard,10.99,421.99327183026800,693.9,India,544
CUST415,2024-02-15,2025-06-26,Premium,15.99,268.82,1063.0,UK,832
CUST416,2024-09-03,2025-07-02,Basic,6.99,65.99,612.1,UK,300
CUST417,2025-02-15,2025-03-13,Standard,10.99,10.74,52.8,US,37
CUST418,2025-02-27,2025-07-11,Premium,15.99,68.64,227.4,Germany,188
CUST419,2024-12-23,2025-01-09,Standard,10.99,11.48,57.9,UK,30
CUST420,2024-05-28,2025-01-09,Standard,10.99,75.45,404.1,US,294
CUST421,2024-02-02,2025-06-17,Basic,6.99,105.46,594.1,Germany,384
CUST422,2024-03-11,2024-07-26,Standard,10.99,42.69,247.1,Germany,200
CUST423,2024-12-03,2025-06-30,Premium,15.99,91.8,258.6,Germany,282
CUST424,2023-08-18,2024-12-31,Standard,10.99,164.45,1011.2,US,736
CUST425,2024-01-17,2025-01-18,Standard,10.99,138.3,693.2,UK,624
CUST426,2024-05-24,2025-04-05,Basic,6.99,127.99672414869300,699.5,US,320
CUST427,2024-04-14,2025-06-30,Basic,6.99,96.96,512.7,UK,392
CUST428,2024-08-27,2024-09-17,Premium,15.99,15.62,54.0,India,41
CUST429,2024-12-25,2025-07-01,Standard,10.99,72.3,315.7,US,288
CUST430,2024-10-10,2025-07-03,Standard,10.99,86.0,395.3,US,392
CUST431,2024-01-03,2025-07-04,Basic,6.99,115.25,678.8,France,648
CUST432,2025-06-06,2025-07-11,Standard,10.99,10.09,57.1,US,36
CUST433,2025-03-27,2025-07-14,Premium,15.99,48.84,195.5,US,207
CUST434,2025-05-15,2025-06-03,Standard,10.99,11.21,38.1,France,55
CUST435,2025-05-19,2025-06-07,Basic,6.99,6.88,53.4,France,22
CUST436,2023-10-27,2025-06-25,Standard,10.99,216.8,1142.8,Germany,960
CUST437,2024-02-10,2025-03-22,Standard,10.99,130.12,754.2,UK,624
CUST438,2024-07-20,2025-07-04,Standard,10.99,121.29,752.2,US,583
CUST439,2025-04-09,2025-05-04,Premium,15.99,16.01,56.7,France,48
CUST440,2024-07-07,2024-08-07,Standard,10.99,10.22,63.6,UK,39
CUST441,2024-07-20,2025-06-19,Premium,15.99,390.5904267789200,804.7,UK,748
CUST442,2025-02-15,2025-04-12,Standard,10.99,10.16,43.9,France,43
CUST443,2024-08-17,2025-07-12,Basic,6.99,64.32,397.8,UK,370
CUST444,2024-09-11,2025-06-25,Standard,10.99,101.08,432.6,France,495
CUST445,2024-04-11,2024-11-20,Basic,6.99,45.96,362.3,US,238
CUST446,2024-03-29,2025-06-30,Premium,15.99,227.93,1035.0,US,975
CUST447,2025-05-16,2025-06-24,Standard,10.99,10.27,52.5,UK,30
