customer_id,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,CLV,Customer_segment,Next_Best_Action,plan_type
CUST168,89 days,54,15.02,4,1,1,2.5,150.2,At Risk,Win-back campaign + survey for feedback,Basic
CUST169,247 days,846,205.93,1,5,5,3.0,2059.3,Average,Re-engagement emails + limited-time discounts,Standard
CUST170,269 days,384,120.94,1,3,4,2.2,1209.4,At Risk,Win-back campaign + survey for feedback,Standard
CUST171,86 days,180,90.86,5,2,3,3.7,908.6,Average,Re-engagement emails + limited-time discounts,Standard
CUST172,96 days,39,11.33,4,1,1,2.5,113.3,At Risk,Win-back campaign + survey for feedback,Standard
CUST173,350 days,590,174.49,1,4,4,2.5,1744.9,At Risk,Win-back campaign + survey for feedback,Premium
CUST174,186 days,364,81.84,2,3,3,2.5,818.4,At Risk,Win-back campaign + survey for feedback,Basic
CUST175,91 days,731,427.52,4,5,5,4.5,4275.2,Loyal,Upsell to premium plan + referral program,Standard
CUST176,98 days,1116,312.45,3,5,5,4.0,3124.5,Loyal,Upsell to premium plan + referral program,Premium
CUST177,92 days,66,15.19,4,1,1,2.5,151.9,At Risk,Win-back campaign + survey for feedback,Basic
CUST178,83 days,270,65.69,5,3,2,3.8,656.9,Average,Re-engagement emails + limited-time discounts,Basic
CUST179,94 days,201,50.52,4,2,2,3.0,505.2,Average,Re-engagement emails + limited-time discounts,Premium
CUST180,180 days,510,171.57,2,4,4,3.0,1715.7,Average,Re-engagement emails + limited-time discounts,Standard
CUST181,436 days,99,33.06,1,2,2,1.5,330.6,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST182,239 days,75,19.84,1,1,1,1.0,198.4,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST183,123 days,51,10.29,2,1,1,1.5,102.9,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST184,95 days,385,81.7,4,3,3,3.5,817.0,Average,Re-engagement emails + limited-time discounts,Standard
CUST185,105 days,168,45.36,3,2,2,2.5,453.6,At Risk,Win-back campaign + survey for feedback,Basic
CUST186,76 days,576,196.58,5,4,5,4.7,1965.8,VIP,Offer exclusive content + loyalty rewards,Standard
CUST187,100 days,315,114.05,3,3,3,3.0,1140.5,Average,Re-engagement emails + limited-time discounts,Basic
CUST188,217 days,544,175.09,2,4,4,3.0,1750.9,Average,Re-engagement emails + limited-time discounts,Standard
CUST189,393 days,28,7.66,1,1,1,1.0,76.6,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST190,97 days,114,23.04,4,2,2,3.0,230.4,Average,Re-engagement emails + limited-time discounts,Basic
CUST191,90 days,646,294.11,4,4,5,4.2,2941.1,Loyal,Upsell to premium plan + referral program,Basic
CUST192,257 days,432,178.09,1,3,5,2.4,1780.9,At Risk,Win-back campaign + survey for feedback,Basic
CUST193,87 days,741,200.22,5,5,5,5.0,2002.2,VIP,Offer exclusive content + loyalty rewards,Premium
CUST194,78 days,540,123.92,5,4,4,4.5,1239.2,Loyal,Upsell to premium plan + referral program,Basic
CUST195,240 days,287,74.0,1,3,3,2.0,740.0,At Risk,Win-back campaign + survey for feedback,Standard
CUST196,245 days,154,46.78,1,2,2,1.5,467.8,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST197,84 days,470,120.28,5,4,4,4.5,1202.8,Loyal,Upsell to premium plan + referral program,Standard
CUST198,90 days,63,14.88,4,1,1,2.5,148.8,At Risk,Win-back campaign + survey for feedback,Premium
CUST199,177 days,25,7.32,2,1,1,1.5,73.2,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST200,76 days,46,14.39,5,1,1,3.0,143.9,Average,Re-engagement emails + limited-time discounts,Premium
CUST201,88 days,300,106.87,4,3,3,3.5,1068.7,Average,Re-engagement emails + limited-time discounts,Basic
CUST202,243 days,70,23.81,1,1,2,1.2,238.1,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST203,100 days,564,126.29,3,4,4,3.5,1262.9,Average,Re-engagement emails + limited-time discounts,Standard
CUST204,222 days,884,513.3,2,5,5,3.5,5133.0,Average,Re-engagement emails + limited-time discounts,Premium
CUST205,83 days,306,67.94,5,3,3,4.0,679.4,Loyal,Upsell to premium plan + referral program,Standard
CUST206,328 days,96,22.91,1,2,2,1.5,229.1,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST207,102 days,442,123.3,3,4,4,3.5,1233.0,Average,Re-engagement emails + limited-time discounts,Basic
CUST208,105 days,190,33.69,3,2,2,2.5,336.9,At Risk,Win-back campaign + survey for feedback,Basic
CUST209,87 days,96,30.4,5,2,2,3.5,304.0,Average,Re-engagement emails + limited-time discounts,Premium
CUST210,76 days,224,83.94,5,2,3,3.7,839.4,Average,Re-engagement emails + limited-time discounts,Standard
CUST211,206 days,52,11.92,2,1,1,1.5,119.2,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST212,298 days,615,163.44,1,4,4,2.5,1634.4,At Risk,Win-back campaign + survey for feedback,Standard
CUST213,105 days,882,211.52,3,5,5,4.0,2115.2,Loyal,Upsell to premium plan + referral program,Standard
CUST214,94 days,945,237.56,4,5,5,4.5,2375.6,Loyal,Upsell to premium plan + referral program,Premium
CUST215,176 days,846,194.83,2,5,5,3.5,1948.3,Average,Re-engagement emails + limited-time discounts,Standard
CUST216,359 days,370,102.36,1,3,3,2.0,1023.6,At Risk,Win-back campaign + survey for feedback,Standard
CUST217,86 days,240,78.77,5,2,3,3.7,787.7,Average,Re-engagement emails + limited-time discounts,Premium
CUST218,92 days,672,147.89,4,5,4,4.3,1478.9,Loyal,Upsell to premium plan + referral program,Basic
CUST219,76 days,351,82.19,5,3,3,4.0,821.9,Loyal,Upsell to premium plan + referral program,Basic
CUST220,197 days,765,163.01,2,5,4,3.3,1630.1,Average,Re-engagement emails + limited-time discounts,Standard
CUST221,101 days,609,155.05,3,4,4,3.5,1550.5,Average,Re-engagement emails + limited-time discounts,Basic
CUST222,250 days,92,22.77,1,2,2,1.5,227.7,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST223,96 days,92,32.84,4,2,2,3.0,328.4,Average,Re-engagement emails + limited-time discounts,Premium
CUST224,205 days,92,23.78,2,2,2,2.0,237.8,At Risk,Win-back campaign + survey for feedback,Standard
CUST225,98 days,520,99.31,3,4,3,3.3,993.1,Average,Re-engagement emails + limited-time discounts,Standard
CUST226,99 days,1311,307.28,3,5,5,4.0,3072.8,Loyal,Upsell to premium plan + referral program,Premium
CUST227,81 days,940,232.43,5,5,5,5.0,2324.3,VIP,Offer exclusive content + loyalty rewards,Standard
CUST228,88 days,53,11.08,4,1,1,2.5,110.8,At Risk,Win-back campaign + survey for feedback,Standard
CUST229,81 days,372,127.24,5,3,4,4.2,1272.4,Loyal,Upsell to premium plan + referral program,Standard
CUST230,80 days,420,148.27,5,3,4,4.2,1482.7,Loyal,Upsell to premium plan + referral program,Premium
CUST231,88 days,240,59.21,4,2,2,3.0,592.1,Average,Re-engagement emails + limited-time discounts,Standard
CUST232,94 days,90,32.78,4,2,2,3.0,327.8,Average,Re-engagement emails + limited-time discounts,Standard
CUST233,219 days,240,68.8,2,2,3,2.2,688.0,At Risk,Win-back campaign + survey for feedback,Premium
CUST234,237 days,850,190.04,1,5,5,3.0,1900.4,Average,Re-engagement emails + limited-time discounts,Standard
CUST235,325 days,39,11.37,1,1,1,1.0,113.7,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST236,94 days,720,203.56,4,5,5,4.5,2035.6,Loyal,Upsell to premium plan + referral program,Premium
CUST237,395 days,258,68.04,1,3,3,2.0,680.4,At Risk,Win-back campaign + survey for feedback,Standard
CUST238,99 days,336,86.13,3,3,3,3.0,861.3,Average,Re-engagement emails + limited-time discounts,Standard
CUST239,92 days,1104,368.77,4,5,5,4.5,3687.7,Loyal,Upsell to premium plan + referral program,Premium
CUST240,96 days,770,256.43,4,5,5,4.5,2564.3,Loyal,Upsell to premium plan + referral program,Standard
CUST241,94 days,210,64.27,4,2,2,3.0,642.7,Average,Re-engagement emails + limited-time discounts,Standard
CUST242,231 days,406,109.43,2,3,3,2.5,1094.3,At Risk,Win-back campaign + survey for feedback,Premium
CUST243,228 days,120,29.39,2,2,2,2.0,293.9,At Risk,Win-back campaign + survey for feedback,Premium
CUST244,248 days,39,11.9,1,1,1,1.0,119.0,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST245,82 days,22,6.42,5,1,1,3.0,64.2,Average,Re-engagement emails + limited-time discounts,Basic
CUST246,103 days,658,158.42,3,4,4,3.5,1584.2,Average,Re-engagement emails + limited-time discounts,Standard
CUST247,102 days,550,118.79,3,4,3,3.3,1187.9,Average,Re-engagement emails + limited-time discounts,Standard
CUST248,92 days,48,10.78,4,1,1,2.5,107.8,At Risk,Win-back campaign + survey for feedback,Standard
CUST249,81 days,238,79.69,5,2,3,3.7,796.9,Average,Re-engagement emails + limited-time discounts,Standard
CUST250,94 days,1134,210.81,4,5,5,4.5,2108.1,Loyal,Upsell to premium plan + referral program,Standard
CUST251,99 days,200,55.98,3,2,2,2.5,559.8,At Risk,Win-back campaign + survey for feedback,Standard
CUST252,81 days,116,29.48,5,2,2,3.5,294.8,Average,Re-engagement emails + limited-time discounts,Basic
CUST253,193 days,368,93.69,2,3,3,2.5,936.9,At Risk,Win-back campaign + survey for feedback,Standard
CUST254,294 days,528,164.25,1,4,4,2.5,1642.5,At Risk,Win-back campaign + survey for feedback,Standard
CUST255,266 days,40,7.55,1,1,1,1.0,75.5,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST256,233 days,407,79.29,2,3,3,2.5,792.9,At Risk,Win-back campaign + survey for feedback,Basic
CUST257,97 days,846,212.93,4,5,5,4.5,2129.3,Loyal,Upsell to premium plan + referral program,Standard
CUST258,255 days,30,10.96,1,1,1,1.0,109.6,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST259,214 days,429,91.63,2,3,3,2.5,916.3,At Risk,Win-back campaign + survey for feedback,Basic
CUST260,86 days,423,155.97,5,3,4,4.2,1559.7,Loyal,Upsell to premium plan + referral program,Premium
CUST261,79 days,465,178.04,5,4,5,4.7,1780.4,VIP,Offer exclusive content + loyalty rewards,Standard
CUST262,314 days,406,110.77,1,3,3,2.0,1107.7,At Risk,Win-back campaign + survey for feedback,Premium
CUST263,88 days,572,136.42,4,4,4,4.0,1364.2,Loyal,Upsell to premium plan + referral program,Standard
CUST264,95 days,62,21.51,4,1,1,2.5,215.1,At Risk,Win-back campaign + survey for feedback,Standard
CUST265,101 days,817,296.99,3,5,5,4.0,2969.9,Loyal,Upsell to premium plan + referral program,Premium
CUST266,92 days,210,73.65,4,2,3,3.2,736.5,Average,Re-engagement emails + limited-time discounts,Standard
CUST267,84 days,240,52.41,5,2,2,3.5,524.1,Average,Re-engagement emails + limited-time discounts,Standard
CUST268,79 days,40,7.49,5,1,1,3.0,74.9,Average,Re-engagement emails + limited-time discounts,Basic
CUST269,98 days,546,140.62,3,4,4,3.5,1406.2,Average,Re-engagement emails + limited-time discounts,Standard
CUST270,103 days,300,108.57,3,3,3,3.0,1085.7,Average,Re-engagement emails + limited-time discounts,Basic
CUST271,110 days,39,6.53,2,1,1,1.5,65.3,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST272,89 days,408,81.27,4,3,3,3.5,812.7,Average,Re-engagement emails + limited-time discounts,Basic
CUST273,83 days,138,38.26,5,2,2,3.5,382.6,Average,Re-engagement emails + limited-time discounts,Basic
CUST274,99 days,690,228.82,3,5,5,4.0,2288.2,Loyal,Upsell to premium plan + referral program,Premium
CUST275,223 days,26,7.37,2,1,1,1.5,73.7,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST276,85 days,816,189.38,5,5,5,5.0,1893.8,VIP,Offer exclusive content + loyalty rewards,Standard
CUST277,93 days,576,135.89,4,4,4,4.0,1358.9,Loyal,Upsell to premium plan + referral program,Premium
CUST278,304 days,705,163.65,1,5,4,2.8,1636.5,At Risk,Win-back campaign + survey for feedback,Standard
CUST279,197 days,32,6.95,2,1,1,1.5,69.5,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST280,87 days,312,94.49,5,3,3,4.0,944.9,Loyal,Upsell to premium plan + referral program,Standard
CUST281,177 days,53,11.57,2,1,1,1.5,115.7,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST282,81 days,814,400.94,5,5,5,5.0,4009.4,VIP,Offer exclusive content + loyalty rewards,Standard
CUST283,87 days,819,238.67,5,5,5,5.0,2386.7,VIP,Offer exclusive content + loyalty rewards,Standard
CUST284,102 days,318,102.61,3,3,3,3.0,1026.1,Average,Re-engagement emails + limited-time discounts,Premium
CUST285,84 days,688,158.59,5,5,4,4.8,1585.9,VIP,Offer exclusive content + loyalty rewards,Standard
CUST286,181 days,784,172.42,2,5,4,3.3,1724.2,Average,Re-engagement emails + limited-time discounts,Standard
CUST287,99 days,663,154.51,3,4,4,3.5,1545.1,Average,Re-engagement emails + limited-time discounts,Standard
CUST288,87 days,360,87.91,5,3,3,4.0,879.1,Loyal,Upsell to premium plan + referral program,Basic
CUST289,196 days,90,32.25,2,2,2,2.0,322.5,At Risk,Win-back campaign + survey for feedback,Premium
CUST290,144 days,40,7.03,2,1,1,1.5,70.3,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST291,89 days,630,223.76,4,4,5,4.2,2237.6,Loyal,Upsell to premium plan + referral program,Standard
CUST292,190 days,1044,451.68,2,5,5,3.5,4516.8,Average,Re-engagement emails + limited-time discounts,Premium
CUST293,77 days,540,169.97,5,4,4,4.5,1699.7,Loyal,Upsell to premium plan + referral program,Standard
CUST294,232 days,159,32.43,2,2,2,2.0,324.3,At Risk,Win-back campaign + survey for feedback,Standard
CUST295,189 days,235,57.3,2,2,2,2.0,573.0,At Risk,Win-back campaign + survey for feedback,Standard
CUST296,374 days,336,137.16,1,3,4,2.2,1371.6,At Risk,Win-back campaign + survey for feedback,Premium
CUST297,85 days,1029,495.29,5,5,5,5.0,4952.9,VIP,Offer exclusive content + loyalty rewards,Standard
CUST298,84 days,1449,332.54,5,5,5,5.0,3325.4,VIP,Offer exclusive content + loyalty rewards,Premium
CUST299,101 days,540,123.51,3,4,4,3.5,1235.1,Average,Re-engagement emails + limited-time discounts,Basic
CUST300,95 days,510,171.03,4,4,4,4.0,1710.3,Loyal,Upsell to premium plan + referral program,Standard
CUST301,83 days,116,30.38,5,2,2,3.5,303.8,Average,Re-engagement emails + limited-time discounts,Premium
CUST302,196 days,40,7.19,2,1,1,1.5,71.9,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST303,78 days,1113,248.21,5,5,5,5.0,2482.1,VIP,Offer exclusive content + loyalty rewards,Standard
CUST304,99 days,294,96.26,3,3,3,3.0,962.6,Average,Re-engagement emails + limited-time discounts,Basic
CUST305,105 days,51,11.89,3,1,1,2.0,118.9,At Risk,Win-back campaign + survey for feedback,Standard
CUST306,101 days,66,24.15,3,1,2,2.2,241.5,At Risk,Win-back campaign + survey for feedback,Standard
CUST307,192 days,648,121.49,2,4,4,3.0,1214.9,Average,Re-engagement emails + limited-time discounts,Standard
CUST308,91 days,29,6.62,4,1,1,2.5,66.2,At Risk,Win-back campaign + survey for feedback,Basic
CUST309,92 days,84,30.48,4,2,2,3.0,304.8,Average,Re-engagement emails + limited-time discounts,Basic
CUST310,90 days,351,99.2,4,3,3,3.5,992.0,Average,Re-engagement emails + limited-time discounts,Basic
CUST311,78 days,510,171.8,5,4,4,4.5,1718.0,Loyal,Upsell to premium plan + referral program,Standard
CUST312,361 days,210,59.54,1,2,2,1.5,595.4,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST313,96 days,250,74.53,4,3,3,3.5,745.3,Average,Re-engagement emails + limited-time discounts,Premium
CUST314,87 days,663,205.36,5,4,5,4.7,2053.6,VIP,Offer exclusive content + loyalty rewards,Standard
CUST315,101 days,210,51.43,3,2,2,2.5,514.3,At Risk,Win-back campaign + survey for feedback,Standard
CUST316,90 days,320,127.99,4,3,4,3.7,1279.9,Average,Re-engagement emails + limited-time discounts,Premium
CUST317,418 days,217,82.29,1,2,3,1.7,822.9,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST318,98 days,630,216.84,3,4,5,3.7,2168.4,Average,Re-engagement emails + limited-time discounts,Premium
CUST319,215 days,608,179.51,2,4,5,3.2,1795.1,Average,Re-engagement emails + limited-time discounts,Standard
CUST320,340 days,168,46.75,1,2,2,1.5,467.5,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Basic
CUST321,87 days,377,97.46,5,3,3,4.0,974.6,Loyal,Upsell to premium plan + referral program,Basic
CUST322,144 days,39,10.51,2,1,1,1.5,105.1,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST323,91 days,279,139.56,4,3,4,3.7,1395.6,Average,Re-engagement emails + limited-time discounts,Basic
CUST324,98 days,282,68.24,3,3,3,3.0,682.4,Average,Re-engagement emails + limited-time discounts,Standard
CUST325,91 days,330,62.27,4,3,2,3.3,622.7,Average,Re-engagement emails + limited-time discounts,Standard
CUST326,166 days,1000,199.35,2,5,5,3.5,1993.5,Average,Re-engagement emails + limited-time discounts,Standard
CUST327,345 days,50,10.79,1,1,1,1.0,107.9,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST328,77 days,420,140.6,5,3,4,4.2,1406.0,Loyal,Upsell to premium plan + referral program,Basic
CUST329,195 days,352,128.36,2,3,4,2.7,1283.6,At Risk,Win-back campaign + survey for feedback,Standard
CUST330,78 days,646,221.35,5,4,5,4.7,2213.5,VIP,Offer exclusive content + loyalty rewards,Standard
CUST331,101 days,704,174.38,3,5,4,3.8,1743.8,Average,Re-engagement emails + limited-time discounts,Premium
CUST332,96 days,715,145.91,4,5,4,4.3,1459.1,Loyal,Upsell to premium plan + referral program,Standard
CUST333,340 days,168,48.97,1,2,2,1.5,489.7,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Premium
CUST334,214 days,37,11.71,2,1,1,1.5,117.1,Inactive,Reactivation campaign (1-month free)+Churn postmortem,Standard
CUST335,95 days,782,184.03,4,5,5,4.5,1840.3,Loyal,Upsell to premium plan + referral program,Standard
CUST336,97 days,168,40.06,4,2,2,3.0,400.6,Average,Re-engagement emails + limited-time discounts,Basic
CUST337,96 days,35,10.47,4,1,1,2.5,104.7,At Risk,Win-back campaign + survey for feedback,Standard
CUST338,105 days,690,166.04,3,5,4,3.8,1660.4,Average,Re-engagement emails + limited-time discounts,Standard
CUST339,104 days,148,43.51,3,2,2,2.5,435.1,At Risk,Win-back campaign + survey for feedback,Standard
CUST340,372 days,650,141.16,1,4,4,2.5,1411.6,At Risk,Win-back campaign + survey for feedback,Standard
CUST341,81 days,828,232.1,5,5,5,5.0,2321.0,VIP,Offer exclusive content + loyalty rewards,Standard
CUST342,104 days,756,240.88,3,5,5,4.0,2408.8,Loyal,Upsell to premium plan + referral program,Standard
CUST343,90 days,396,93.25,4,3,3,3.5,932.5,Average,Re-engagement emails + limited-time discounts,Standard
CUST344,92 days,26,6.57,4,1,1,2.5,65.7,At Risk,Win-back campaign + survey for feedback,Basic
CUST345,244 days,1037,464.59,1,5,5,3.0,4645.9,Average,Re-engagement emails + limited-time discounts,Premium
CUST346,89 days,270,66.09,4,3,2,3.3,660.9,Average,Re-engagement emails + limited-time discounts,Basic
CUST347,190 days,532,135.04,2,4,4,3.0,1350.4,Average,Re-engagement emails + limited-time discounts,Basic
CUST348,96 days,968,235.56,4,5,5,4.5,2355.6,Loyal,Upsell to premium plan + referral program,Standard
CUST349,99 days,620,217.55,3,4,5,3.7,2175.5,Average,Re-engagement emails + limited-time discounts,Standard
CUST350,100 days,252,77.5,3,3,3,3.0,775.0,Average,Re-engagement emails + limited-time discounts,Standard
CUST351,101 days,306,59.18,3,3,2,2.8,591.8,At Risk,Win-back campaign + survey for feedback,Basic
